complaint_id,text,category,priority,sentiment,resolution_time
164,I need a refund because it broke It has been 5 days.,Product,Medium,neutral,14
165,Product malfunctioning critical!,Product,High,negative,4
166,Poor packaging quality,Packaging,Medium,neutral,14
167,This product broke immediately It has been 3 days.,Product,Medium,neutral,12
168,The package was crushed,Packaging,Medium,neutral,7
169,Box was broken It has been 3 days.,Packaging,Medium,neutral,6
170,Product stopped working emergency!,Product,High,negative,2
171,Item is completely broken fast!!!,Product,High,negative,3
172,Quality is terrible and broke No rush.,Product,Low,positive,20
173,What is the wholesale price?,Trade,High,negative,3
174,Item is completely broken emergency!!!,Product,High,negative,5
175,Need bulk order details,Trade,Medium,neutral,7
176,Poor packaging quality fast!!,Packaging,High,negative,2
177,Inquiry about pricing,Trade,Medium,neutral,13
178,Item is completely broken No rush.,Product,Low,positive,18
179,Wrapping was completely destroyed,Packaging,Medium,neutral,8
180,Torn box,Packaging,Medium,neutral,14
181,Poor packaging quality No rush.,Packaging,Low,positive,26
182,What is the wholesale price? No rush.,Trade,Low,positive,17
183,Item is completely broken fast!,Product,High,negative,3
184,Box was broken It has been 5 days.,Packaging,Medium,neutral,6
185,Torn box It has been 5 days.,Packaging,Medium,neutral,6
186,Poor packaging quality,Packaging,High,negative,5
187,Trade-related query It has been 5 days.,Trade,Medium,neutral,7
188,I need a quote for a large order immediately!!,Trade,High,negative,2
189,Item is completely broken No rush.,Product,Low,positive,17
190,Need bulk order details,Trade,Medium,neutral,7
191,Poor packaging quality It has been 4 days.,Packaging,Medium,neutral,11
192,This product broke immediately It has been 4 days.,Product,Medium,neutral,15
193,Poor packaging quality No rush.,Packaging,Low,positive,30
194,Damaged packaging No rush.,Packaging,Low,positive,22
195,Need bulk order details asap!!,Trade,High,negative,5
196,Product stopped working quick!,Product,High,negative,1
197,Trade-related query emergency!,Trade,High,negative,2
198,Inquiry about pricing It has been 3 days.,Trade,Medium,neutral,10
199,Quality is terrible and broke No rush.,Product,Low,positive,23
200,Poor packaging quality fast!!,Packaging,High,negative,2
201,Box was broken resolve soon!,Packaging,High,negative,2
202,Quality is terrible and broke asap!!!,Product,High,negative,1
203,Damaged packaging critical!!,Packaging,High,negative,2
204,Product stopped working,Product,Medium,neutral,15
205,Product malfunctioning,Product,High,negative,1
206,Need bulk order details,Trade,High,negative,2
207,Product malfunctioning It has been 4 days.,Product,Medium,neutral,9
208,Inquiry about pricing It has been 4 days.,Trade,Medium,neutral,9
209,The package was crushed,Packaging,High,negative,4
210,The package was crushed It has been 2 days.,Packaging,Medium,neutral,6
211,Wrapping was completely destroyed No rush.,Packaging,Low,positive,21
212,Damaged packaging,Packaging,Medium,neutral,15
213,Need bulk order details critical!!,Trade,High,negative,2
214,Damaged packaging It has been 3 days.,Packaging,Medium,neutral,11
215,Defective item received immediately!,Product,High,negative,5
216,Product stopped working deadline!!!,Product,High,negative,4
217,I need a refund because it broke No rush.,Product,Low,positive,28
218,Trade-related query No rush.,Trade,Low,positive,17
219,The package was crushed It has been 2 days.,Packaging,Medium,neutral,8
220,Poor packaging quality emergency!!!,Packaging,High,negative,4
221,Poor packaging quality,Packaging,High,negative,4
222,I need a quote for a large order No rush.,Trade,Low,positive,24
223,Product malfunctioning,Product,Medium,neutral,6
224,Item is completely broken,Product,Medium,neutral,14
225,Wrapping was completely destroyed immediately!!!,Packaging,High,negative,3
226,Item is completely broken It has been 2 days.,Product,Medium,neutral,6
227,This product broke immediately It has been 2 days.,Product,Medium,neutral,6
228,Trade-related query No rush.,Trade,Low,positive,20
229,Trade-related query No rush.,Trade,Low,positive,24
230,What is the wholesale price? urgent!,Trade,High,negative,2
231,Inquiry about pricing,Trade,Medium,neutral,9
232,Box was broken No rush.,Packaging,Low,positive,27
233,Need bulk order details,Trade,High,negative,2
234,Defective item received,Product,Medium,neutral,13
235,Damaged packaging critical!,Packaging,High,negative,1
236,I need a refund because it broke,Product,Medium,neutral,8
237,Quality is terrible and broke It has been 4 days.,Product,Medium,neutral,10
238,Defective item received No rush.,Product,Low,positive,25
239,Trade-related query,Trade,Medium,neutral,13
240,Trade-related query,Trade,High,negative,1
241,Poor packaging quality,Packaging,High,negative,2
242,Wrapping was completely destroyed,Packaging,High,negative,5
243,I need a quote for a large order No rush.,Trade,Low,positive,26
244,This product broke immediately fast!,Product,High,negative,5
245,Torn box It has been 2 days.,Packaging,Medium,neutral,12
246,Trade-related query deadline!!!,Trade,High,negative,3
247,Need bulk order details,Trade,High,negative,1
248,I need a quote for a large order No rush.,Trade,Low,positive,22
249,I need a refund because it broke,Product,Medium,neutral,8
250,Need bulk order details It has been 4 days.,Trade,Medium,neutral,9
251,Inquiry about pricing,Trade,Medium,neutral,11
252,Inquiry about pricing asap!!,Trade,High,negative,5
253,I need a quote for a large order It has been 3 days.,Trade,Medium,neutral,15
254,Poor packaging quality fast!,Packaging,High,negative,2
255,Torn box immediately!,Packaging,High,negative,5
256,Need bulk order details,Trade,Medium,neutral,14
257,This product broke immediately No rush.,Product,Low,positive,27
258,The package was crushed No rush.,Packaging,Low,positive,27
259,Trade-related query No rush.,Trade,Low,positive,21
260,The package was crushed It has been 5 days.,Packaging,Medium,neutral,14
261,Torn box,Packaging,High,negative,2
262,Quality is terrible and broke,Product,Medium,neutral,6
263,Need bulk order details It has been 3 days.,Trade,Medium,neutral,9
264,Trade-related query It has been 3 days.,Trade,Medium,neutral,13
265,This product broke immediately,Product,Medium,neutral,13
266,I need a refund because it broke No rush.,Product,Low,positive,30
267,What is the wholesale price? fast!!!,Trade,High,negative,4
268,Inquiry about pricing No rush.,Trade,Low,positive,16
269,Quality is terrible and broke resolve soon!,Product,High,negative,2
270,Damaged packaging,Packaging,High,negative,1
271,Poor packaging quality It has been 3 days.,Packaging,Medium,neutral,8
272,Product malfunctioning,Product,High,negative,2
273,Box was broken It has been 3 days.,Packaging,Medium,neutral,6
274,I need a refund because it broke No rush.,Product,Low,positive,28
275,Damaged packaging No rush.,Packaging,Low,positive,20
276,Damaged packaging,Packaging,Medium,neutral,10
277,I need a quote for a large order,Trade,Medium,neutral,10
278,What is the wholesale price? fast!!!,Trade,High,negative,2
279,The package was crushed quick!!!,Packaging,High,negative,3
280,Wrapping was completely destroyed quick!!!,Packaging,High,negative,4
281,What is the wholesale price? No rush.,Trade,Low,positive,30
282,Inquiry about pricing It has been 5 days.,Trade,Medium,neutral,6
283,What is the wholesale price? asap!!!,Trade,High,negative,1
284,Quality is terrible and broke deadline!!!,Product,High,negative,4
285,Torn box No rush.,Packaging,Low,positive,30
286,What is the wholesale price? It has been 5 days.,Trade,Medium,neutral,7
287,Damaged packaging It has been 3 days.,Packaging,Medium,neutral,8
288,Item is completely broken,Product,Medium,neutral,15
289,Quality is terrible and broke It has been 5 days.,Product,Medium,neutral,12
290,Need bulk order details No rush.,Trade,Low,positive,19
291,This product broke immediately,Product,High,negative,2
292,Torn box emergency!!!,Packaging,High,negative,4
293,Need bulk order details,Trade,High,negative,4
294,Damaged packaging emergency!!,Packaging,High,negative,4
295,Damaged packaging,Packaging,Medium,neutral,12
296,I need a refund because it broke critical!!,Product,High,negative,5
297,This product broke immediately No rush.,Product,Low,positive,16
298,Product malfunctioning,Product,High,negative,2
299,This product broke immediately,Product,Medium,neutral,7
300,Product malfunctioning emergency!!,Product,High,negative,4
301,Need bulk order details,Trade,High,negative,4
302,Wrapping was completely destroyed No rush.,Packaging,Low,positive,28
303,Torn box No rush.,Packaging,Low,positive,20
304,Damaged packaging,Packaging,High,negative,2
305,Torn box,Packaging,Medium,neutral,11
306,This product broke immediately resolve soon!!!,Product,High,negative,1
307,Wrapping was completely destroyed asap!!!,Packaging,High,negative,2
308,I need a quote for a large order It has been 4 days.,Trade,Medium,neutral,14
309,Need bulk order details It has been 5 days.,Trade,Medium,neutral,7
310,The package was crushed No rush.,Packaging,Low,positive,23
311,Wrapping was completely destroyed No rush.,Packaging,Low,positive,28
312,I need a quote for a large order No rush.,Trade,Low,positive,20
313,Inquiry about pricing No rush.,Trade,Low,positive,26
314,Defective item received No rush.,Product,Low,positive,22
315,Trade-related query asap!!!,Trade,High,negative,2
316,This product broke immediately It has been 2 days.,Product,Medium,neutral,15
317,This product broke immediately urgent!,Product,High,negative,2
318,Defective item received It has been 5 days.,Product,Medium,neutral,9
319,This product broke immediately,Product,Medium,neutral,10
320,Product malfunctioning emergency!!!,Product,High,negative,4
321,Wrapping was completely destroyed urgent!,Packaging,High,negative,3
322,Inquiry about pricing fast!,Trade,High,negative,1
323,Item is completely broken immediately!!,Product,High,negative,3
324,What is the wholesale price? No rush.,Trade,Low,positive,21
325,Trade-related query urgent!!!,Trade,High,negative,2
326,Item is completely broken It has been 5 days.,Product,Medium,neutral,8
327,Poor packaging quality urgent!!,Packaging,High,negative,2
328,Quality is terrible and broke,Product,Medium,neutral,15
329,Poor packaging quality No rush.,Packaging,Low,positive,25
330,Need bulk order details It has been 5 days.,Trade,Medium,neutral,12
331,Torn box It has been 3 days.,Packaging,Medium,neutral,6
332,Damaged packaging asap!,Packaging,High,negative,4
333,Wrapping was completely destroyed,Packaging,Medium,neutral,15
334,I need a quote for a large order resolve soon!,Trade,High,negative,4
335,Trade-related query It has been 5 days.,Trade,Medium,neutral,9
336,Torn box It has been 5 days.,Packaging,Medium,neutral,9
337,Poor packaging quality It has been 2 days.,Packaging,Medium,neutral,12
338,Product malfunctioning No rush.,Product,Low,positive,25
339,Torn box It has been 2 days.,Packaging,Medium,neutral,7
340,Product malfunctioning critical!!,Product,High,negative,4
341,Damaged packaging No rush.,Packaging,Low,positive,30
342,Item is completely broken,Product,Medium,neutral,13
343,What is the wholesale price? No rush.,Trade,Low,positive,29
344,The package was crushed,Packaging,Medium,neutral,13
345,Torn box,Packaging,High,negative,2
346,Poor packaging quality,Packaging,Medium,neutral,14
347,Wrapping was completely destroyed It has been 4 days.,Packaging,Medium,neutral,12
348,Item is completely broken No rush.,Product,Low,positive,23
349,Torn box It has been 3 days.,Packaging,Medium,neutral,8
350,Inquiry about pricing,Trade,Medium,neutral,12
351,I need a quote for a large order deadline!!!,Trade,High,negative,4
352,The package was crushed emergency!!!,Packaging,High,negative,4
353,I need a quote for a large order,Trade,High,negative,1
354,The package was crushed,Packaging,Medium,neutral,10
355,Torn box immediately!!,Packaging,High,negative,1
356,Trade-related query fast!,Trade,High,negative,1
357,Box was broken No rush.,Packaging,Low,positive,20
358,What is the wholesale price? No rush.,Trade,Low,positive,23
359,I need a refund because it broke It has been 5 days.,Product,Medium,neutral,13
360,Box was broken resolve soon!!,Packaging,High,negative,5
361,Quality is terrible and broke critical!!!,Product,High,negative,5
362,Inquiry about pricing,Trade,High,negative,3
363,Defective item received,Product,Medium,neutral,9
364,Defective item received No rush.,Product,Low,positive,20
365,I need a quote for a large order It has been 4 days.,Trade,Medium,neutral,6
366,This product broke immediately fast!!!,Product,High,negative,5
367,Product malfunctioning,Product,High,negative,1
368,What is the wholesale price? deadline!!!,Trade,High,negative,5
369,I need a refund because it broke It has been 5 days.,Product,Medium,neutral,9
370,Need bulk order details It has been 4 days.,Trade,Medium,neutral,11
371,This product broke immediately resolve soon!!,Product,High,negative,3
372,Trade-related query,Trade,High,negative,1
373,Need bulk order details,Trade,Medium,neutral,11
374,This product broke immediately critical!!,Product,High,negative,3
375,Item is completely broken asap!!,Product,High,negative,4
376,Product malfunctioning immediately!,Product,High,negative,2
377,The package was crushed,Packaging,High,negative,4
378,Poor packaging quality immediately!,Packaging,High,negative,3
379,Damaged packaging,Packaging,Medium,neutral,12
380,Need bulk order details No rush.,Trade,Low,positive,19
381,Item is completely broken immediately!!,Product,High,negative,3
382,Inquiry about pricing,Trade,High,negative,2
383,Box was broken No rush.,Packaging,Low,positive,28
384,Item is completely broken It has been 3 days.,Product,Medium,neutral,13
385,Trade-related query,Trade,Medium,neutral,8
386,Quality is terrible and broke resolve soon!!!,Product,High,negative,3
387,Trade-related query It has been 5 days.,Trade,Medium,neutral,12
388,Product malfunctioning No rush.,Product,Low,positive,24
389,Poor packaging quality asap!,Packaging,High,negative,2
390,Wrapping was completely destroyed It has been 2 days.,Packaging,Medium,neutral,10
391,Quality is terrible and broke No rush.,Product,Low,positive,16
392,Need bulk order details It has been 5 days.,Trade,Medium,neutral,11
393,The package was crushed critical!!,Packaging,High,negative,5
394,Poor packaging quality It has been 3 days.,Packaging,Medium,neutral,15
395,Box was broken immediately!!,Packaging,High,negative,3
396,This product broke immediately,Product,High,negative,3
397,Quality is terrible and broke fast!!!,Product,High,negative,5
398,Inquiry about pricing,Trade,Medium,neutral,14
399,I need a quote for a large order,Trade,Medium,neutral,8
400,Trade-related query emergency!!!,Trade,High,negative,5
401,Quality is terrible and broke,Product,High,negative,1
402,Item is completely broken,Product,High,negative,3
403,I need a quote for a large order No rush.,Trade,Low,positive,28
404,Inquiry about pricing,Trade,High,negative,2
405,This product broke immediately,Product,High,negative,4
406,Need bulk order details No rush.,Trade,Low,positive,19
407,Torn box It has been 4 days.,Packaging,Medium,neutral,10
408,Product malfunctioning,Product,High,negative,1
409,I need a quote for a large order No rush.,Trade,Low,positive,17
410,Product stopped working It has been 5 days.,Product,Medium,neutral,14
411,Damaged packaging,Packaging,Medium,neutral,10
412,Defective item received,Product,High,negative,3
413,Product stopped working,Product,Medium,neutral,7
414,Quality is terrible and broke No rush.,Product,Low,positive,27
415,Product malfunctioning No rush.,Product,Low,positive,23
416,Wrapping was completely destroyed It has been 4 days.,Packaging,Medium,neutral,15
417,Item is completely broken It has been 4 days.,Product,Medium,neutral,10
418,Product stopped working,Product,Medium,neutral,13
419,Inquiry about pricing,Trade,Medium,neutral,11
420,Product malfunctioning No rush.,Product,Low,positive,28
421,Trade-related query resolve soon!!,Trade,High,negative,1
422,The package was crushed No rush.,Packaging,Low,positive,25
423,Torn box No rush.,Packaging,Low,positive,28
424,Box was broken resolve soon!,Packaging,High,negative,1
425,Poor packaging quality,Packaging,Medium,neutral,10
426,What is the wholesale price?,Trade,Medium,neutral,11
427,This product broke immediately quick!!,Product,High,negative,3
428,Wrapping was completely destroyed resolve soon!!!,Packaging,High,negative,4
429,Product malfunctioning No rush.,Product,Low,positive,17
430,Trade-related query No rush.,Trade,Low,positive,27
431,What is the wholesale price? It has been 3 days.,Trade,Medium,neutral,14
432,Inquiry about pricing It has been 2 days.,Trade,Medium,neutral,13
433,Damaged packaging It has been 4 days.,Packaging,Medium,neutral,11
434,This product broke immediately urgent!!!,Product,High,negative,3
435,Product stopped working emergency!,Product,High,negative,2
436,Product stopped working It has been 2 days.,Product,Medium,neutral,14
437,Need bulk order details,Trade,Medium,neutral,7
438,Poor packaging quality critical!,Packaging,High,negative,3
439,What is the wholesale price? It has been 5 days.,Trade,Medium,neutral,6
440,Trade-related query It has been 3 days.,Trade,Medium,neutral,14
441,Item is completely broken No rush.,Product,Low,positive,26
442,I need a quote for a large order,Trade,Medium,neutral,15
443,Product stopped working resolve soon!,Product,High,negative,3
444,Wrapping was completely destroyed quick!!!,Packaging,High,negative,3
445,This product broke immediately It has been 5 days.,Product,Medium,neutral,9
446,The package was crushed,Packaging,High,negative,4
447,Quality is terrible and broke It has been 4 days.,Product,Medium,neutral,13
448,Trade-related query,Trade,Medium,neutral,12
449,Inquiry about pricing urgent!,Trade,High,negative,2
450,Wrapping was completely destroyed It has been 3 days.,Packaging,Medium,neutral,11
451,Box was broken,Packaging,High,negative,3
452,Box was broken emergency!!,Packaging,High,negative,5
453,This product broke immediately It has been 4 days.,Product,Medium,neutral,12
454,Quality is terrible and broke asap!,Product,High,negative,3
455,Damaged packaging asap!!!,Packaging,High,negative,5
456,Inquiry about pricing It has been 5 days.,Trade,Medium,neutral,8
457,Product stopped working No rush.,Product,Low,positive,27
458,This product broke immediately No rush.,Product,Low,positive,21
459,Product stopped working,Product,Medium,neutral,13
460,Damaged packaging quick!!,Packaging,High,negative,2
461,Poor packaging quality asap!!!,Packaging,High,negative,3
462,Poor packaging quality,Packaging,High,negative,2
463,Damaged packaging,Packaging,High,negative,5
464,Damaged packaging quick!!!,Packaging,High,negative,1
465,Need bulk order details,Trade,High,negative,5
466,I need a quote for a large order No rush.,Trade,Low,positive,17
467,Wrapping was completely destroyed fast!,Packaging,High,negative,3
468,Product malfunctioning,Product,Medium,neutral,12
469,The package was crushed urgent!!,Packaging,High,negative,2
470,Need bulk order details,Trade,Medium,neutral,10
471,I need a quote for a large order,Trade,Medium,neutral,10
472,Quality is terrible and broke immediately!,Product,High,negative,4
473,Inquiry about pricing immediately!!!,Trade,High,negative,2
474,Poor packaging quality quick!!,Packaging,High,negative,5
475,This product broke immediately It has been 3 days.,Product,Medium,neutral,11
476,Torn box No rush.,Packaging,Low,positive,29
477,Poor packaging quality,Packaging,Medium,neutral,11
478,I need a refund because it broke,Product,Medium,neutral,7
479,Wrapping was completely destroyed It has been 2 days.,Packaging,Medium,neutral,6
480,Inquiry about pricing fast!!!,Trade,High,negative,5
481,Wrapping was completely destroyed,Packaging,Medium,neutral,9
482,Quality is terrible and broke,Product,High,negative,3
483,Defective item received,Product,High,negative,4
484,Quality is terrible and broke No rush.,Product,Low,positive,21
485,Wrapping was completely destroyed,Packaging,High,negative,4
486,Product stopped working,Product,High,negative,1
487,I need a refund because it broke No rush.,Product,Low,positive,18
488,Torn box,Packaging,High,negative,1
489,What is the wholesale price?,Trade,Medium,neutral,12
490,Poor packaging quality,Packaging,High,negative,2
491,Defective item received No rush.,Product,Low,positive,16
492,Product malfunctioning It has been 5 days.,Product,Medium,neutral,6
493,Box was broken emergency!,Packaging,High,negative,1
494,Need bulk order details,Trade,Medium,neutral,11
495,This product broke immediately No rush.,Product,Low,positive,28
496,Quality is terrible and broke asap!!!,Product,High,negative,1
497,Quality is terrible and broke urgent!!!,Product,High,negative,3
498,Damaged packaging It has been 4 days.,Packaging,Medium,neutral,12
499,I need a refund because it broke,Product,Medium,neutral,7
500,Trade-related query resolve soon!!!,Trade,High,negative,2
501,I need a refund because it broke quick!!,Product,High,negative,1
502,I need a refund because it broke,Product,Medium,neutral,10
503,Inquiry about pricing It has been 2 days.,Trade,Medium,neutral,15
504,Product stopped working,Product,High,negative,5
505,Wrapping was completely destroyed,Packaging,Medium,neutral,12
506,The package was crushed asap!!!,Packaging,High,negative,1
507,Wrapping was completely destroyed,Packaging,High,negative,2
508,Inquiry about pricing It has been 4 days.,Trade,Medium,neutral,11
509,Item is completely broken,Product,Medium,neutral,15
510,The package was crushed No rush.,Packaging,Low,positive,16
511,Inquiry about pricing It has been 5 days.,Trade,Medium,neutral,7
512,Defective item received immediately!!,Product,High,negative,5
513,Inquiry about pricing immediately!!,Trade,High,negative,5
514,The package was crushed,Packaging,Medium,neutral,15
515,Box was broken It has been 5 days.,Packaging,Medium,neutral,14
516,Poor packaging quality,Packaging,Medium,neutral,6
517,What is the wholesale price? emergency!,Trade,High,negative,2
